iter	Passed	Remaining
0	0	91
1	1	82
2	2	75
3	3	72
4	3	72
5	4	70
6	5	69
7	5	68
8	6	67
9	7	66
10	8	65
11	8	64
12	9	64
13	10	62
14	11	62
15	11	62
16	12	62
17	13	61
18	14	60
19	14	59
20	15	58
21	16	57
22	17	57
23	17	56
24	18	55
25	19	54
26	19	53
27	20	52
28	21	52
29	22	51
30	22	50
31	23	50
32	24	49
33	25	48
34	25	47
35	26	47
36	27	46
37	28	46
38	29	45
39	29	44
40	30	44
41	31	43
42	32	42
43	32	41
44	33	40
45	34	40
46	35	39
47	35	38
48	36	38
49	37	37
50	37	36
51	38	35
52	39	34
53	40	34
54	40	33
55	41	32
56	42	32
57	43	31
58	43	30
59	44	29
60	45	29
61	46	28
62	46	27
63	47	26
64	48	26
65	49	25
66	49	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	55	19
74	56	18
75	56	17
76	57	17
77	58	16
78	59	15
79	60	15
80	60	14
81	61	13
82	62	12
83	62	11
84	63	11
85	64	10
86	65	9
87	65	8
88	66	8
89	67	7
90	67	6
91	68	5
92	69	5
93	70	4
94	70	3
95	71	2
96	72	2
97	73	1
98	74	0
99	74	0
